Project,Analysis end date,Develop Id,Operationalization,Expected role,Ground-truth role (survey),Core vote (survey),Peripheral vote (survey)
Linux,2015-12-05,8277,Mail Degree,peripheral,peripheral,0,1
Linux,2015-12-05,8277,Commit Count,peripheral,peripheral,0,1
Linux,2015-12-05,8277,Mail Count,core,peripheral,0,1
Linux,2015-12-05,8277,VCS EigenCent,core,peripheral,0,1
Linux,2015-12-05,8277,LOC Count,peripheral,peripheral,0,1
Linux,2015-12-05,8277,VCS Degree,core,peripheral,0,1
Linux,2015-12-05,8277,Mail EigenCent,peripheral,peripheral,0,1
Linux,2015-12-05,8364,LOC Count,peripheral,core,1,0
Linux,2015-12-05,8364,Mail Count,core,core,1,0
Linux,2015-12-05,8364,VCS EigenCent,peripheral,core,1,0
Linux,2015-12-05,8364,Mail Degree,core,core,1,0
Linux,2015-12-05,8364,VCS Degree,peripheral,core,1,0
Linux,2015-12-05,8364,VCS Hierarchy,peripheral,core,1,0
Linux,2015-12-05,8364,Mail EigenCent,core,core,1,0
Linux,2015-12-05,8364,Commit Count,peripheral,core,1,0
Linux,2015-12-05,8391,LOC Count,peripheral,peripheral,1,3
Linux,2015-12-05,8391,VCS Degree,peripheral,peripheral,1,3
Linux,2015-12-05,8391,VCS EigenCent,peripheral,peripheral,1,3
Linux,2015-12-05,8391,Commit Count,peripheral,peripheral,1,3
Linux,2015-12-05,8391,VCS Hierarchy,peripheral,peripheral,1,3
Linux,2015-12-05,8398,VCS Hierarchy,peripheral,peripheral,0,1
Linux,2015-12-05,8398,Mail EigenCent,peripheral,peripheral,0,1
Linux,2015-12-05,8398,VCS EigenCent,peripheral,peripheral,0,1
Linux,2015-12-05,8398,Mail Degree,peripheral,peripheral,0,1
Linux,2015-12-05,8398,Mail Count,peripheral,peripheral,0,1
Linux,2015-12-05,8398,VCS Degree,peripheral,peripheral,0,1
Linux,2015-12-05,8398,Commit Count,peripheral,peripheral,0,1
Linux,2015-12-05,8398,LOC Count,peripheral,peripheral,0,1
Linux,2015-12-05,8446,VCS EigenCent,core,core,1,0
Linux,2015-12-05,8446,LOC Count,peripheral,core,1,0
Linux,2015-12-05,8446,Mail EigenCent,core,core,1,0
Linux,2015-12-05,8446,Mail Degree,core,core,1,0
Linux,2015-12-05,8446,VCS Hierarchy,core,core,1,0
Linux,2015-12-05,8446,Commit Count,peripheral,core,1,0
Linux,2015-12-05,8446,VCS Degree,core,core,1,0
Linux,2015-12-05,8446,Mail Count,core,core,1,0
Linux,2015-12-05,8465,Commit Count,peripheral,peripheral,0,1
Linux,2015-12-05,8465,VCS Degree,peripheral,peripheral,0,1
Linux,2015-12-05,8465,VCS EigenCent,core,peripheral,0,1
Linux,2015-12-05,8465,VCS Hierarchy,peripheral,peripheral,0,1
Linux,2015-12-05,8465,LOC Count,peripheral,peripheral,0,1
Linux,2015-12-05,8484,LOC Count,peripheral,peripheral,0,1
Linux,2015-12-05,8484,VCS EigenCent,peripheral,peripheral,0,1
Linux,2015-12-05,8484,VCS Degree,peripheral,peripheral,0,1
Linux,2015-12-05,8484,Mail Degree,peripheral,peripheral,0,1
Linux,2015-12-05,8484,Mail EigenCent,peripheral,peripheral,0,1
Linux,2015-12-05,8484,Mail Count,peripheral,peripheral,0,1
Linux,2015-12-05,8484,VCS Hierarchy,peripheral,peripheral,0,1
Linux,2015-12-05,8484,Commit Count,peripheral,peripheral,0,1
Linux,2015-12-05,8577,VCS Hierarchy,peripheral,peripheral,1,5
Linux,2015-12-05,8577,VCS EigenCent,peripheral,peripheral,1,5
Linux,2015-12-05,8577,VCS Degree,peripheral,peripheral,1,5
Linux,2015-12-05,8577,Commit Count,peripheral,peripheral,1,5
Linux,2015-12-05,8577,LOC Count,peripheral,peripheral,1,5
Linux,2015-12-05,8705,VCS Hierarchy,peripheral,peripheral,0,1
Linux,2015-12-05,8705,Commit Count,peripheral,peripheral,0,1
Linux,2015-12-05,8705,VCS Degree,peripheral,peripheral,0,1
Linux,2015-12-05,8705,LOC Count,peripheral,peripheral,0,1
Linux,2015-12-05,8705,VCS EigenCent,peripheral,peripheral,0,1
Linux,2015-12-05,8706,VCS Hierarchy,peripheral,peripheral,0,1
Linux,2015-12-05,8706,Commit Count,peripheral,peripheral,0,1
Linux,2015-12-05,8706,VCS EigenCent,peripheral,peripheral,0,1
Linux,2015-12-05,8706,Mail EigenCent,peripheral,peripheral,0,1
Linux,2015-12-05,8706,VCS Degree,peripheral,peripheral,0,1
Linux,2015-12-05,8706,Mail Degree,peripheral,peripheral,0,1
Linux,2015-12-05,8706,Mail Count,peripheral,peripheral,0,1
Linux,2015-12-05,8706,LOC Count,peripheral,peripheral,0,1
Linux,2015-12-05,8906,Commit Count,peripheral,peripheral,0,1
Linux,2015-12-05,8906,VCS EigenCent,peripheral,peripheral,0,1
Linux,2015-12-05,8906,VCS Degree,peripheral,peripheral,0,1
Linux,2015-12-05,8906,VCS Hierarchy,peripheral,peripheral,0,1
Linux,2015-12-05,8906,LOC Count,peripheral,peripheral,0,1
QEMU,2015-11-02,892,VCS EigenCent,peripheral,peripheral,0,1
QEMU,2015-11-02,892,VCS Degree,peripheral,peripheral,0,1
QEMU,2015-11-02,892,LOC Count,peripheral,peripheral,0,1
QEMU,2015-11-02,892,VCS Hierarchy,peripheral,peripheral,0,1
QEMU,2015-11-02,892,Commit Count,peripheral,peripheral,0,1
QEMU,2015-11-02,927,VCS Hierarchy,peripheral,peripheral,0,2
QEMU,2015-11-02,927,Mail Count,peripheral,peripheral,0,2
QEMU,2015-11-02,927,Mail Degree,peripheral,peripheral,0,2
QEMU,2015-11-02,927,LOC Count,peripheral,peripheral,0,2
QEMU,2015-11-02,927,Commit Count,peripheral,peripheral,0,2
QEMU,2015-11-02,927,VCS Degree,peripheral,peripheral,0,2
QEMU,2015-11-02,927,Mail EigenCent,peripheral,peripheral,0,2
QEMU,2015-11-02,927,VCS EigenCent,peripheral,peripheral,0,2
